Title,Certification Type,Report Number,Standard Tested,Country,Issue Date,Status
SD-VSN-3,Unintentional Radiators,"<div class=""ExternalClass9B1CC8F962C24F9F8C06A436CC78280A""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/104699147LEX-019.pdf"" title=""104699147LEX-019"">104699147LEX-019</a></div></div>","ETSI EN 301 489-1 v2.2.3
ETSI EN 301 489-3 v2.1.2 
ETSI EN 301 489-17 v3.2.4 
ETSI EN 301 489-52 v1.1.2",EU,9/3/2021,No Renewal Required
SD-VSN-3,Ingress,"<div class=""ExternalClass1A57F6E1306643578736273B06BD954A""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/104412926CRT-002L.pdf"" title=""104412926CRT-002L"">104412926CRT-002L</a></div></div>",IP67,EU,9/25/2020,No Renewal Required
SD-VSN-3,"Compliance, Other","<div class=""ExternalClass567F0C1E9E914CF9BB104B800FC7DBB0""><div style=""margin-top&#58;14px;margin-bottom&#58;14px;""><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/Certificate_Guyana_SD-VSN-3.pdf"" title=""No. 334-20221220-168"">No. 334-20221220-168</a><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/Certificate_Guyana_SD-VSN-3.pdf"" title=""Certificate Guyana""><br></a></div></div>",Guyana Certificate,Guyana,12/30/2022,No Renewal Required
SD-VSN-3,"Compliance, Other","<div class=""ExternalClass7D250D4C20DC4B82BE1187BB95E416E0""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;background-color&#58;transparent;""><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/Certificate_SDVSN3_Qatar.pdf"" title=""CRA/SM/2022/S-0012489"">CRA/SM/2022/S-0012489</a><br></div></div>",Qatar Certification,Qatar,3/14/2023,No Renewal Required
SD-HUB-1,Ordinary Safety,"<div class=""ExternalClass35F3AE387A49466DB2D1E42221107E37""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;background-color&#58;transparent;""><span style=""color&#58;rgb(36, 36, 36);font-family&#58;&quot;Aptos Narrow&quot;, Calibri, &quot;sans-serif&quot;, &quot;Mongolian Baiti&quot;, &quot;Microsoft Yi Baiti&quot;, &quot;Javanese Text&quot;, &quot;Yu Gothic&quot;;text-align&#58;left;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;""><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/104653468DAL-001.pdf"" title=""104653468DAL-001""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;11pt;"">104653468DAL-001</span></a></span><br></div></div>","UL 61010-1:2012 Ed.3+R:21Nov2018
Outdoor Use",US,2/24/2023,No Renewal Required
SD-HUB-1,Ordinary Safety,"<div class=""ExternalClass382711E5C1784CC5A7211B7A6CD00828""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;background-color&#58;transparent;""><span style=""color&#58;rgb(36, 36, 36);font-family&#58;&quot;segoe ui&quot;;text-align&#58;left;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;""><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/104653468DAL-001.pdf"" title=""104653468DAL-001"">104653468DAL-001</a></span><br></div></div>","CSA C22.2#61010-1-12:2012 Ed.3+U1;U2
Outdoor Use",Canada,2/24/2023,No Renewal Required
SD-HUB-1,Ordinary Safety,,IEC 61010-1,EU,,No Renewal Required
SD-HUB-1,Intentional Radiators,"<div class=""ExternalClassC078D4255A7A4CC2B689226ACFCDABA1""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/SD-HUB-1%20FCC%20Part%2015.247%20Z5IHB1%20TestReport.pdf"" title=""R-3248P-1"">R-3248P-1</a></div><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/104653350LEX-003%20SD-HUB-1%20FCC%20MPE%20RSS%20Field%20LImits%20IEC62311-2019%207-20-2021.pdf"" title=""104653350LEX-003"">104653350LEX-003</a>​​<br></div><div><div><br></div></div><div class=""ExternalClass01055E7E0332461BA5F62D8DC5F4105A""><div class=""ExternalClass03E43F8466B44950B13A67DD33B51D4F""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;background-color&#58;transparent;""><br></div></div></div></div>","Contains FCC ID: Z5IHB1
FCC Part 1.1310 Limits for Maximum Permissible Exposure (MPE)",US,7/20/2021,No Renewal Required
SD-HUB-1,Intentional Radiators,"<div class=""ExternalClassBC45D8E675C54107A8EC277D8D3CB45F""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/104653350LEX-003%20SD-HUB-1%20FCC%20MPE%20RSS%20Field%20LImits%20IEC62311-2019%207-20-2021.pdf"" title=""104653350LEX-003"">104653350LEX-003</a><br></div></div>",RSS-102 Issue 5 RF Field Strength Limits for Devices Used by the General Public,Canada,7/20/2021,No Renewal Required
SD-HUB-1,Intentional Radiators,"<div class=""ExternalClass822E28CECCC74293A5E11C506EB32C14""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/All%20EMC%20Reports%20from%20Intertek/104653350LEX-001%20ETSI%20EN%20300%20328%20Radiated%20Spurious%20Emissions.pdf"" title=""104653350LEX-001"">104653350LEX-001</a></div><div><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/104653350LEX-003%20SD-HUB-1%20FCC%20MPE%20RSS%20Field%20LImits%20IEC62311-2019%207-20-2021.pdf"" title=""104653350LEX-003"">104653350LEX-003</a><br></div></div></div>","ETSI EN 300 328 v2.2.2
IEC62311: 2019",EU,7/20/2021,No Renewal Required
SD-HUB-1,Unintentional Radiators,"<div class=""ExternalClass5513D0B0DA8B423791446C78BACFE964""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/F2P28698-02E[89]%20-%20SD-HUB-1.1,%20Q3%202022.pdf"" title=""F2P28698-02E[89]"">F2P28698-02E[89]</a><br></div></div>","FCC CFR 47 Part 15, Subpart B: 
15.107(b) Class A, Conducted Emissions (AC equip)
15.109(b) Class A Radiated Emissions (AC equip)",US,10/13/2022,No Renewal Required
SD-HUB-1,Unintentional Radiators,"<div class=""ExternalClassC7D26A8BEE40464586E47CC9AE89D494""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/F2P28698-02E[89]%20-%20SD-HUB-1.1,%20Q3%202022.pdf"" title=""F2P28698-02E[89]"">F2P28698-02E[89]</a><br></div></div>","ICES-003, Issue7: 2020 Information Technology Equipment (including Digital Apparatus), Class A",Canada,10/13/2022,No Renewal Required
SD-HUB-1,Unintentional Radiators,"<div class=""ExternalClass0676D58BBABE49649C736774C28B8130""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/EMC/F2P28698-01E[10]%20-%20SD-HUB-1.1,%20Q3%202022.pdf"" title=""F2P28698-01E[10]"">F2P28698-01E[10]</a><br></div></div>","EN 301 489-17 V3.2.4
EN 301 489-1 V2.2.3
EN 61000-3-2:2014
EN 61000-3-3:2013",EU,10/19/2022,No Renewal Required
SD-HUB-1,Ingress,"<div class=""ExternalClass23D092FDC8444AD593F985D003F2D4CB""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/104653468DAL-001.pdf"" title=""104653468DAL-001"">104653468DAL-001</a><br></div></div>","AC Hub: IP66
Batt Hub: IP64",EU,2/24/2023,No Renewal Required
SD-HUB-1,Ingress,"<div class=""ExternalClassD38C00270A654812AC9AC9F5BD7E0D32""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-HUB-1/104653468DAL-001.pdf"" title=""104653468DAL-001"">104653468DAL-001</a><br></div></div>",UL50E Type 3R,US,2/24/2023,No Renewal Required
SD-BASE-4,Ordinary Safety,"<div class=""ExternalClass1F9E5BE82E764713AD69ED637AEA3B03""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/104653393DAL-001.pdf"" title=""104653393DAL-001"">104653393DAL-001</a></div><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/104653393DAL-001_ATM.pdf"" title=""104653393DAL-001_ATM"">104653393DAL-001_ATM</a></div><div><br></div></div>","UL62368-1 
Indoor Use Only",US,9/8/2021,No Renewal Required
SD-BASE-4,Ordinary Safety,"<div class=""ExternalClass015A3B2099424E079F1FCD0C5F8BD44D""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/104653393DAL-001.pdf"" title=""104653393DAL-001"">104653393DAL-001</a></div><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/104653393DAL-001_ATM.pdf"" title=""104653393DAL-001_ATM"">104653393DAL-001_ATM</a></div><div><br></div></div>","C22.2 62368-1 
Indoor Use Only",Canada,9/8/2021,No Renewal Required
SD-BASE-4,Ordinary Safety,"<div class=""ExternalClass093ECAA276564BFD80A1367BC1A87817""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/104653393DAL-002_update.pdf"" title=""104653393DAL-002"">104653393DAL-002</a><br></div></div>",IEC 62368-1,"EU
South Africa",5/15/2023,No Renewal Required
SD-BASE-4,Intentional Radiators,"<div class=""ExternalClass6B332AB866524E149622BE4294797BDB""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-023.pdf"" title=""104699147LEX-023"">104699147LEX-023</a><br></div></div>","FCC - Part 15, Subpart C, Section 15.247
FCC Part 1.1310 Limits for Maximum Permissible Exposure (MPE)
Contains FCC IDs:  Z5ISL1, N7NEM75, Z5IBMD345",US,9/3/2021,No Renewal Required
SD-BASE-4,Intentional Radiators,"<div class=""ExternalClass68E1E945F6D742A5900B13D9BDAAA530""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-023.pdf"" title=""104699147LEX-023"">104699147LEX-023</a><br></div></div>","RSS-102 Issue 5 RF Field Strength Limits for Devices Used by the General Public
Contains ICs: 24664-SL1, 2417C-EM75, 24664-BMD345",Canada,9/3/2021,No Renewal Required
SD-BASE-4,Intentional Radiators,"<div class=""ExternalClass1171FC12496C48A49153618CDCEDB9D2""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-015.pdf"" title=""104699147LEX-015"">104699147LEX-015</a></div><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-023.pdf"" title=""104699147LEX-023"">104699147LEX-023</a><br></div></div>","ETSI EN 300 328
ETSI EN 301 893
EN 62311",EU,9/3/2021,No Renewal Required
SD-BASE-4,Intentional Radiators,"<div class=""ExternalClass1D3FCCFD29874D6C98C4D3048FD5D887""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/ICASA%20TA-20213059.pdf"" title=""ICASA TA-20213059"">ICASA TA-20213059</a><br></div></div>",ICASA Type Approval,South Africa,2/14/2022,No Renewal Required
SD-BASE-4,Unintentional Radiators,"<div class=""ExternalClass93E5433D2FA3449E922D12025CB576FA""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-001.pdf"" title=""104699147LEX-001"">104699147LEX-001</a><br></div></div>","FCC CFR 47 Part 15, Subpart B: 15.107 Conducted Emissions (AC equip)
15.109 Radiated Emissions (AC equip)",US,8/2/2021,No Renewal Required
SD-BASE-4,Unintentional Radiators,"<div class=""ExternalClass7999531E04AD4649AC23F3AC6B37AA2B""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-001.pdf"" title=""104699147LEX-001"">104699147LEX-001</a><br></div></div>",ICES-003 Issue 7: Conducted & Radiated Emissions,Canada,8/2/2021,No Renewal Required
SD-BASE-4,Unintentional Radiators,"<div class=""ExternalClass28E9D05ADB4B46259066B5DED2461179""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/EMC/104699147LEX-019.pdf"" title=""104699147LEX-019"">104699147LEX-019</a><br></div></div>","Electromagnetic Compatibility (EMC)
ETSI EN 301 489-1
ETSI EN 301 489-3
ETSI EN 301 489-17
ETSI EN 301 489-52","EU
South Africa",9/3/2021,No Renewal Required
SD-IEPE-1,Unintentional Radiators,"<div class=""ExternalClass57EC25805779476F93BC92FD003EA8C6""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-IEPE-1/F2P30999A-01E.pdf"" title=""F2P30999A-01E"">F2P30999A-01E</a><br></div></div>","2014/30/EU:
EN IEC 61326-1:2021
EN 55011:2016+A1:2017+A11:2020+A2:2021
EN 61000-3-2:2019+A1:2021
EN 61000-3-3:2013+A1:2019",EU,2/1/2024,No Renewal Required
SD-GATE-1,Ordinary Safety,"<div class=""ExternalClass93A461C90886432E89DAA198EF84AFCC""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-GATE-1/Safety/F2P31361F-03H%20(Listing)_signed_BR.pdf"" title=""F2P31361F-03H"">F2P31361F-03H</a><br></div></div>","UL 62368-1
CSA C22.2 No. 62368-1, Third Edition, Dated December 13, 2019 
","US
Canada",11/8/2024,No Renewal Required
SD-GATE-1,Hazard Location Safety,"<div class=""ExternalClass5ED93F24424B4E9B84E5D0EE2ECE18F9""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-GATE-1/Safety/F2P31361F-03H%20(Listing)_signed_BR.pdf"" title="" F2P31361F-03H"">&#160;F2P31361F-03H</a><br></div></div>","Nonincendive Electrical Equipment for use in Class I and II, Division 2 and Class III, Division 1 and 2 
Hazardous (classified) Location, ANSI/UL121201:2021, CAN/CSA C22.2 No.213-2021 
","US
Canada",11/8/2024,No Renewal Required
SD-GATE-1,Unintentional Radiators,"<div class=""ExternalClassD7E88CBA710849BD971BEB9CE7681E62""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-GATE-1/EMC/F2P31361F-02E%20FCC%20IC.pdf"" title=""F2P31361F-02E"">F2P31361F-02E</a><br></div></div>","Federal Register CFR 47, Part 15, subpart B, Class A",US,10/10/2024,No Renewal Required
SD-GATE-1,Unintentional Radiators,"<div class=""ExternalClass6F266F522DCD4F719C796FA1DE1B0D16""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-GATE-1/EMC/F2P31361F-01E%2055032-35.pdf"" title=""F2P31361F-01E"">F2P31361F-01E</a><br></div></div>","EN 55032:2015+A11:2020 
EN 55035:2017+A11:2020",EU,9/20/2024,No Renewal Required
SD-GATE-1,Unintentional Radiators,"<div class=""ExternalClassFC2B9140254F498FB85F2B235EF01434""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-GATE-1/EMC/F2P31361F-02E%20FCC%20IC.pdf"" title=""F2P31361F-02E"">F2P31361F-02E</a><br></div></div>","ICES-003, Issue 7:2020, Class A",Canada,10/10/2024,No Renewal Required
SD-IEPE-1,Unintentional Radiators,"<div class=""ExternalClassF5BCCA0DD5744DD78D8B360FA8E749BE""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-IEPE-1/F2P30999A-02E.pdf"" title=""F2P30999A-02E"">F2P30999A-02E</a></div></div>","Federal Register CFR 47, Part 15, subpart B, Class A",US,2/1/2024,No Renewal Required
SD-IEPE-1,Unintentional Radiators,"<div class=""ExternalClass35584732CBC6492981B2BAC1D14782C2""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-IEPE-1/F2P30999A-02E.pdf"" title=""F2P30999A-02E"">F2P30999A-02E</a><br></div></div>","ICES-003, Issue 7:2020, Class A",Canada,2/1/2024,No Renewal Required
SD-GATE-1,"Compliance, Other","<div class=""ExternalClass25FA2015085C4BC1BBB2A5C0150A1019""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-GATE-1/NOM%20Certs/SD-Gate-1_NOM_CoC.pdf"" title=""No. LL032225"">No. LL032225</a><br></div></div>",,Mexico,7/7/2025,Expired
SD-BASE-4,"Compliance, Other","<div class=""ExternalClass418D4986E9A44166957AA6090E6ED592""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/ANCE%20PEC%20ANC2201C00013870%20KCF%20TECH%20SD-BASE-4.pdf"" title=""ANC2201C00013870"">ANC2201C00013870</a><br></div></div>",,Mexico,9/22/2022,No Renewal Required
SD-BASE-4,"Compliance, Other","<div class=""ExternalClass96E0C4DC5178494D9E3DB29CD3245AA1""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/Certificate_Guyana_SD-BASE-4.pdf"" title=""334-20221220-167"">334-20221220-167</a></div></div>",,Guyana Certificate,12/30/2022,No Renewal Required
SD-BASE-4,"Compliance, Other","<div class=""ExternalClassB8C3DC5C8F6C437EB503A9D4C11284FB""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-4/Certificate_SDBASE4_Qatar.pdf"" title=""CRA/SM/2022/S-0012524"">CRA/SM/2022/S-0012524</a><br></div></div>",,Qatar,1/2/2023,No Renewal Required
